4,11,3
5,14,5
19,10,3
15,18,6
18,11,4
10,10,4
15,18,15
19,19,15
18,10,18
15,2,14
18,17,2
15,11,8
9,20,19
8,3,14
20,4,6
6,5,16
20,1,16
2,7,1
13,20,13
6,16,16
1,17,1
19,8,17
20,16,14
17,20,5
8,7,4
13,17,16
11,16,3
5,10,9
17,19,17
11,2,14
8,12,3
7,10,6
16,3,9
1,3,11
13,20,4
16,14,5
19,20,9
8,16,2
8,4,2
15,4,8
16,3,9
9,20,1
10,18,10
18,18,5
5,15,16
2,15,1
17,13,2
14,16,17
15,2,14
4,5,3
20,12,11
12,14,8
8,3,17
4,20,20
16,3,3
17,19,12
12,7,16
5,6,17
15,18,3
15,18,18
1,3,11
10,4,4
13,20,13
11,1,5
15,1,19
16,20,15
4,17,16
14,8,19
12,15,9
4,15,4
17,1,11
2,15,3
10,20,17
6,5,14
1,4,1
17,7,8
18,19,18
12,8,13
8,18,1
18,18,7
10,2,20
17,20,11
7,1,12
4,9,14
16,4,18
1,9,8
11,4,2
9,9,6
9,7,9
12,7,4
1,16,13
14,6,2
6,16,19
12,6,20
14,13,14
1,4,18
14,8,13
16,1,16
15,6,5
5,1,15
3,1,2
